,timestamp,operator_id,event,task_id
0,2025-08-20T10:00:07Z,B,task start,B-1
1,2025-08-20T10:00:14Z,A,task start,A-1
2,2025-08-20T10:00:21Z,C,task start,C-1
3,2025-08-20T10:00:29Z,C,task error,C-1
4,2025-08-20T10:00:31Z,A,task complete,A-1
5,2025-08-20T10:00:36Z,C,task start,C-2
6,2025-08-20T10:00:43Z,B,task error,B-1
7,2025-08-20T10:00:47Z,A,task start,A-2
8,2025-08-20T10:00:49Z,C,task complete,C-2
9,2025-08-20T10:00:56Z,A,task complete,A-2
10,2025-08-20T10:01:04Z,A,task start,A-3
11,2025-08-20T10:01:06Z,B,task start,B-2
12,2025-08-20T10:01:13Z,B,task complete,B-2
13,2025-08-20T10:01:18Z,A,task complete,A-3
14,2025-08-20T10:01:24Z,C,task start,C-3
15,2025-08-20T10:01:26Z,C,task complete,C-3
16,2025-08-20T10:01:31Z,B,task start,B-3
17,2025-08-20T10:01:38Z,C,task start,C-4
18,2025-08-20T10:01:44Z,B,task complete,B-3
19,2025-08-20T10:01:47Z,B,task start,B-4
20,2025-08-20T10:01:55Z,B,task error,B-4
21,2025-08-20T10:02:01Z,A,task start,A-4
22,2025-08-20T10:02:04Z,C,task complete,C-4
23,2025-08-20T10:02:08Z,A,task complete,A-4
24,2025-08-20T10:02:10Z,B,task start,B-5
25,2025-08-20T10:02:18Z,B,task complete,B-5
26,2025-08-20T10:02:25Z,C,task start,C-5
27,2025-08-20T10:02:33Z,C,task error,C-5
28,2025-08-20T10:02:40Z,A,task start,A-5
29,2025-08-20T10:02:43Z,C,task start,C-6
30,2025-08-20T10:02:51Z,A,task complete,A-5
31,2025-08-20T10:02:53Z,B,task start,B-6
32,2025-08-20T10:02:58Z,A,task start,A-6
33,2025-08-20T10:03:05Z,A,task complete,A-6
34,2025-08-20T10:03:08Z,A,task start,A-7
35,2025-08-20T10:03:11Z,C,task error,C-6
36,2025-08-20T10:03:19Z,B,task complete,B-6
37,2025-08-20T10:03:24Z,A,task complete,A-7
38,2025-08-20T10:03:32Z,A,task start,A-8
39,2025-08-20T10:03:35Z,A,task complete,A-8
40,2025-08-20T10:03:40Z,C,task start,C-7
41,2025-08-20T10:03:44Z,B,task start,B-7
42,2025-08-20T10:03:47Z,A,task start,A-9
43,2025-08-20T10:03:53Z,C,task error,C-7
44,2025-08-20T10:03:59Z,A,task complete,A-9
45,2025-08-20T10:04:03Z,B,task error,B-7
46,2025-08-20T10:04:07Z,A,task start,A-10
47,2025-08-20T10:04:11Z,B,task start,B-8
48,2025-08-20T10:04:14Z,B,task complete,B-8
49,2025-08-20T10:04:21Z,A,task complete,A-10
50,2025-08-20T10:04:23Z,B,task start,B-9
51,2025-08-20T10:04:30Z,A,task start,A-11
52,2025-08-20T10:04:37Z,C,task start,C-8
53,2025-08-20T10:04:44Z,C,task complete,C-8
54,2025-08-20T10:04:49Z,A,task complete,A-11
55,2025-08-20T10:04:54Z,A,task start,A-12
56,2025-08-20T10:05:01Z,B,task error,B-9
57,2025-08-20T10:05:04Z,B,task start,B-10
58,2025-08-20T10:05:08Z,C,task start,C-9
59,2025-08-20T10:05:11Z,C,task complete,C-9
60,2025-08-20T10:05:13Z,A,task complete,A-12
61,2025-08-20T10:05:20Z,B,task complete,B-10
62,2025-08-20T10:05:25Z,A,task start,A-13
63,2025-08-20T10:05:33Z,A,task complete,A-13
64,2025-08-20T10:05:40Z,B,task start,B-11
65,2025-08-20T10:05:42Z,A,task start,A-14
66,2025-08-20T10:05:46Z,C,task start,C-10
67,2025-08-20T10:05:50Z,C,task complete,C-10
68,2025-08-20T10:05:56Z,B,task complete,B-11
69,2025-08-20T10:06:03Z,B,task start,B-12
70,2025-08-20T10:06:08Z,A,task complete,A-14
71,2025-08-20T10:06:11Z,A,task start,A-15
72,2025-08-20T10:06:16Z,B,task complete,B-12
73,2025-08-20T10:06:18Z,C,task start,C-11
74,2025-08-20T10:06:22Z,C,task complete,C-11
